INNOVACION,DESCRIPCION,INDEX,PINDEX,ENTIDAD,SECTOR
Smece,"Es un proceso sobre el cual reflexionan críticamente los actores educativos con el objetivo de valorar la gestión escolar en su propio contexto y generar el progreso sostenido a través de la formulación de planes de mejoramiento. Sistema Multidimensional de evaluación que aproveche la información relevante sobre la calidad educativa, donde se consolida, almacena y procesa la información, oportuna, homogénea y fácil de consultar por los tres niveles de la SED.",175,32,Secretaría De Educación Del Distrito,Educación
Programa entornos educativos protectores y confiables ECO-2022,"Conformar entornos educativos de confianza y protección, mediante la configuración de redes de comunidades educativas orientadas a liderar procesos de transformación para el mejoramiento de los entornos educativos y el fortalecimiento de la relación escuela-territorio.  Pone en marcha 3 componentes: a) Entornos Educativos Compartidos, b) Colegios Abiertos a la Comunidad y c) Red de Instituciones Educativas que aportan al Ecosistema de Paz y Reconciliación.",176,32,Secretaría De Educación Del Distrito,Educación
OAPE - Observatorio de Acceso y Permanencia Escolar,"Su objetivo es generar conocimiento e información sobre factores asociados al acceso y la permanencia escolar de niños jóvenes y adultos en la ciudad de Bogotá, que permita apoyar la toma de decisiones, fomentar la investigación, así como proporcionar información estructurada para los responsables de la formulación y evaluación de políticas, planes y programas y así contribuir a enfrentar dicho fenómeno.",177,32,Secretaría De Educación Del Distrito,Educación
Fortalecimiento de competencias de los jóvenes de media para afrontar los retos del Siglo XXI,"El proyecto se enfoca en:1) Realizar acompañamiento a las IED, 2) Realizar actualización y ajuste curricular, 3) Implementar en las IED la estrategia de inmersión a la educación superior, 4) fortalecimiento de la pertinencia curricular, 5) Implementar la Estrategia de Orientación Socio Ocupacional, 6) articular acciones con el sector productivo y aliados estratégicos, y 7) Promover programas de formación técnica.",178,32,Secretaría De Educación Del Distrito,Educación
"Cuida tu salud, Cuida tu planta - Horticultura en la Unidad Renal del Hospital El Tunal","En la Unidad Renal del Hospital El Tunal se genera la estrategia de horticultura ""Cuida tu salud, cuida tu planta"", donde por medio de huertas urbanas en el entorno hospitalario y en los hogares se mejora el estado nutricional y seguridad alimentaria de los pacientes en Estadio V. Esto genera cambios en el estado nutricional y emocional de los pacientes. Se ha llevado a cabo seguimiento mediante escala MIS, que permite identificar mejoras en la inflamación del paciente, cambios en ingesta, etc",179,33,Subred Integrada De Servicios De Salud Sur E.S.E.,Salud
Terapia cognitivo conductual por aplicativo móvil para adultos con abuso de sustancias psicoactivas,"Se genera un proyecto de investigación el cual busca mejorar los procesos de atención de la población consumidora de sustancias psicoactivas en la Subred Sur E.S.E, mediante la caracterización e implementación de una aplicación móvil, que aporte en la continuidad en la atención. Se plantea en tres fases: Caracterizaciòn de la poblaciòn, generar el aplicativo y pruebas y validaciòn.",180,33,Subred Integrada De Servicios De Salud Sur E.S.E.,Salud
Ruta atención del paciente víctima de trauma en las instituciones que componen la Subred Sur,"Creación de una ruta para los pacientes que llegan a causa de trauma, donde se permita mejorar los tiempos de atención de los pacientes que llegan a la Subred Sur; con observación directa por un equipo multidisciplinario y especializado que garantiza la identificaciòn oportuna del diagnóstico y tratamiento. Disminución de los tiempos de TRIAGE.",181,33,Subred Integrada De Servicios De Salud Sur E.S.E.,Salud
"Ruta de atención de violencia ""Línea Rosa""","Es una ruta que permite dar respuesta a los casos de violencia en las localidades de la Subred Sur. Los pacientes llegan al Hospital de Meissen, por medio de una ambulancia exclusiva y con operarios capacitados para disminuir la revictimización. Se posee un enfoque diferencial dado que se da atención inicial por parte de especialistas, y se cuenta con consultorio priorizado, donde son los profesionales quienes se dirigen al paciente. Se genera activación de acciones intersectoriales.",182,33,Subred Integrada De Servicios De Salud Sur E.S.E.,Salud
Ruta de atención de ACV,"Permite la disminución en los tiempos de atención en paciente,  generando  resultados óptimos asociados a que se disminuye la probabilidad de mortalidad y morbilidad. Se cuenta con atención inicial y simultánea por parte de especialistas, equipo clínico, paraclínico y apoyo diagnóstico- terapéutico.  Se fortalece la interrelación entre la urgencia y seguimiento ambulatorio, acompañamiento a los pacientes en ruta de atenciòn y prevención, con el fin que continúe su manejo como crónico.",183,33,Subred Integrada De Servicios De Salud Sur E.S.E.,Salud
Estrategia CLUSTER,"Consiste en una revista médico-administrativa y de apoyo, diagnóstico y terapéutico, donde intervienen todos los perfiles que puedan tener una relevancia sobre el paciente. Por medio de esta reuniòn se identifican la problemática de los pacientes, se asignan tareas que permita solucionar dichas situaciones por uno o varios integrantes del CLUSTER. Adicionalmente, se registra la información durante el turno y se genera seguimiento del  cumplimiento de las acciones, ejecución y su impacto.",184,33,Subred Integrada De Servicios De Salud Sur E.S.E.,Salud
Factores relacionados con desenlaces clínicos adversos en pacientes hospitalizados por COVID-19,"Proceso de investigación, por medio de un estudio observacional analítico de cohorte retrospectivo multicéntrico. Donde se analizaron pacientes hospitalizados en el área de pisos bajo aislamiento respiratorio por la sospecha de COVID-19 en cinco hospitales de tercero y cuarto nivel de atención clínica, públicos y privados durante un periodo de seis meses. Permitió identificar acciones tempranas de medidas terapéuticas como son: antivirales, antimaláricos, corticoides o anticoagulantes.",185,33,Subred Integrada De Servicios De Salud Sur E.S.E.,Salud
"Con Energía eficiente, segura y  Sostenible le ponemos el corazón. (Paneles Solares)","Estrategia que fomenta la sostenibilidad de la entidad, se instalaron 28 paneles solares unidad Hospital Vista Hermosa y 4 paneles, solares en el Hospital El Tunal en ambos casos funcionan para recarga de bicicletas eléctricas, además se instalaron 81 paneles solares para la unidad de Manuela Beltrán. Ha generado ahorro en el consumo de energía de estas unidades por medio  del abastecimiento directo por parte de los paneles.",186,33,Subred Integrada De Servicios De Salud Sur E.S.E.,Salud
Pensando en tu bienestar en bici al trabajo sin emisiones,"Estrategia que busca promover la movilidad sostenible y hábitos saludables en los colaboradores de la Subred Sur mediante el préstamo de bicicletas para que realicen sus traslados desde  hacia el trabajo. Se ha fomentado el uso de bicicletas como un medio  de transporte amigable con el ambiente en trayectos de sus hogares a la entidad y viceversa y para facilitar la movilidad entre las sedes de nuestros colaboradores.Adicionalmente, se han generado biciparqueaderos a los usuarios.",187,33,Subred Integrada De Servicios De Salud Sur E.S.E.,Salud
Creando comunidad alrededor del sabor del campo,"Oferta de productos agrícolas con la demanda generada por los grupos de valor de la Subred, promoviendo los circuitos cortos de comercialización de productos orgánicos libres de agroquímicos, que producen las comunidades campesinas en las que tiene cobertura la entidad acompañado con estrategias de educación en salud pública y del área de bienestar institucional, con temáticas en: salud ambiental y laboral, enfermedades crónicas no transmisibles, seguridad y soberanía alimentaria y nutricional.",188,33,Subred Integrada De Servicios De Salud Sur E.S.E.,Salud
Parque temático Chaquen: primer parque temático en salud pública en zona rural,Es un espacio creado como una estrategia de educación pública. Permite educar a los campesinos que interactúan con el parque para diseñar en sus fincas sistemas ambientalmente sostenibles. En este lugar se ha implementado una granja demostrativa para educar a las comunidades sobre la seguridad alimentaria y las prácticas agrícolas indígenas. Sirve como fuente adicional de ingresos para los agricultores que participan en el proyecto.,189,33,Subred Integrada De Servicios De Salud Sur E.S.E.,Salud
SIASUR,"Desarrollo propio de la Oficina de Sistemas de Información – TIC, se recolectaron necesidades de diferentes dependencias de la entidad para mejorar los procesos. Ha permitido mejoras asociadas a:Entrega de turno medico, Rutas de atención integral, Agendamiento de ambulancias, Agendamiento virtual de citas, laboratorio clínico y farmacia, Contratación OPS, etc.",190,33,Subred Integrada De Servicios De Salud Sur E.S.E.,Salud
"Sendas de integridad - ""Liga Anticorrupción""","La Liga Anticorrupción de la Subred Sur es un equipo que refleja los valores y principios institucionales observados en las acciones de nuestros colaboradores y usuarios. están inspirados en las buenas acciones de los héroes anónimos que sienten satisfacción ante el deber cumplido. Son personas extraordinarias que cambian su entorno con pequeños actos de diligencia, honestidad, respeto, justicia, compromiso y trabajo en equipo, replicando así el buen ejemplo de otros.",191,33,Subred Integrada De Servicios De Salud Sur E.S.E.,Salud
003 PLAN ESTRATEGICO DE SEGURIDAD VIAL,"Promover las buenas prácticas de seguridad vial en todos los funcionarios y contratistas que permita disminuir la tasa 
de accidentalidad implementando el Plan Estratégico de Seguridad Vial del Instituto según lineamientos de la 
normativa legal vigente y políticas de la entidad, para promover en todas las personas la formación de hábitos, 
comportamientos y conductas seguras en la vía.",192,34,Instituto Distrital Para La Protección De La Niñez Y La Juventud,Integración Social
Seminario internacional transformemos con los grandes y pequeños creadores,"Este evento tuvo una transmisión permanente y se resalta la participación presencial de 80 personas entre las que se encuentran 34 niñas y 27 niños en la biblioteca Virgilio Barco, así como la participación virtual de niñas y niños de diferentes 
ciudades y la creación de videos que permitieron el registro y la presentación de las valoraciones hechas por las niñas y niños del primer espacio del seminario",193,34,Instituto Distrital Para La Protección De La Niñez Y La Juventud,Integración Social
Enamórate,"Durante el presente periodo se ha logrado generar trabajo sobre las líneas de acción Configuraciones corporales y Alborada por la vida, ambas pertenecientes al componente. A 
nivel general es importante resaltar que ha realizado un proceso de reorganización tanto de aspectos temáticos metodológicos, como de planeación y seguimiento a objetivos 
estratégicos del IDIPRON",194,34,Instituto Distrital Para La Protección De La Niñez Y La Juventud,Integración Social
Rediseño Institucional,"Con la renovación institucional logramos ampliar nuestra capacidad institucional para atender a nuestros beneficiarios y estar preparados frente a los cambios que rodean nuestra institución, ajustándonos a los principios de la función pública, incorporando elementos de desarrollo administrativo a nivel 
estratégico, funcional, estructural y organizacional.",195,34,Instituto Distrital Para La Protección De La Niñez Y La Juventud,Integración Social
1. Sistema Integral de Monitoreo del Control Preventivo Distrital,"Este sistema va encamidado al cumplimiento del monitoreo de la contratacion en el distrito y se realizaron modificaciones relacionadas al diseno y rendimiento del mismo. 
Como resultado el sistema fue visitado y manejado por 1975 personas entre funcionarios, contratistas, directivos de la entidad y ciudadania en general.
El sistema se desarrollo en 2021 y los cambios y mejoras se implementaron en 2022 como puede observarse en los documentos de soporte.",196,36,Veeduría Distrital,Órganos de Control
2. Herramienta de Seguimiento a la Gestión Pública Local y Distrital,Esta herramienta fue diseñada para implementarse mediante los siguientes pasos: 1) Mesas de Pactos; 2) Revisión de evidencias; 3) Mesas de Verificación; 4) Elaboración y presentación de Informe de verificación; y 5) Mesas de Seguimiento.,197,36,Veeduría Distrital,Órganos de Control
"3. ""Blog Red Distrital de Quejas y Reclamos""","Se encuentra información relevante de las 54 entidades que hacen parte de la Red Distrital de Quejas y Reclamos. Se puede consultar las últimas noticias, algunas rutas para acceder a los servicios que se prestan y conocer las buenas prácticas que se implementan. Además de consignar la información de las entidades de la Red Distrital de Quejas y Reclamos, también se publicaban noticias de la actividades desarrolladas por la DAQyR.",198,36,Veeduría Distrital,Órganos de Control
Diseño y desarrollo de productos turísticos innovadores para Bogotá D.C (Turismo RE),"TURISMO RE (PRODUCTO TURÍSTICO DE BIENESTAR): Este producto se encuentra  conectado con el producto turístico de alto valor definido por el Ministerio de Comercio Industria y Turismo (Turismo de Naturaleza), En esta estrategias se crean experiencias RE y Turismo por Grupos, en los que se desarrollan programas relacionados con: Contemplación de la naturaleza, Holístico, Alimentación Saludable, Prácticas Culturales /Ancestrales, Lúdico/Recreativas.",199,37,Instituto Distrital De Turismo,"Desarrollo Económico, Industria y Turismo"
Diseño y desarrollo de productos turísticos innovadores para Bogotá D.C (Turismo Rural),"TURISMO RURAL: Promueve la diversificación económica con el objetivo de mejorar la calidad de vida de las familias campesinas; Fortalece las capacidades de la mujer rural, aportando al desarrollo de su entorno;  Promueve la protección del patrimonio cultural y ambiental; Descentralización de la demanda turística en los ecosistemas de alta fragilidad. Logrando desarrollar diferentes experiencias en las localidades, contribuyendo a los ODS y generando una catálogo con experiencias consolidadas",200,37,Instituto Distrital De Turismo,"Desarrollo Económico, Industria y Turismo"
Diseño y desarrollo de productos turísticos innovadores para Bogotá D.C (Ruta Leyenda el Dorado),"RUTA LEYENDA EL DORADO: Involucra narraciones sagradas, historias heroicas y sucesos que invitan a la reflexión y al entendimiento. Permite descubrir más sobre Sue, Chía, Bachué, Bochica, Chiminigagua, Tundama y más personajes que hablan de un pasado que hoy es leyenda. Este producto brinda la posibilidad de acceder al conocimiento ancestral, aprender de los astros y su sentido milenario; es la oportunidad de comprender el sentido de la vida a partir de una conexión única con la naturaleza.",201,37,Instituto Distrital De Turismo,"Desarrollo Económico, Industria y Turismo"
Diseño y desarrollo de productos turísticos innovadores para Bogotá D.C (Producto LGBTI),"PRODUCTO LGBTI: identifica Las necesidades de las personas de los sectores LGBTI en el contexto turístico, para presentar un amplio catálogo de lugares y planes que con el paso del tiempo se han convertido en experiencias emblemáticas en la ciudad. Las apuestas de los establecimientos reseñados en la Guía Descubre Bogotá LGBTI, van desde la implementación de ambientes laborales inclusivos hasta la creación de productos turísticos LGBTI que han abierto oportunidades de negocio.",202,37,Instituto Distrital De Turismo,"Desarrollo Económico, Industria y Turismo"
Desarrollo web Fondetur,"Fondetur trabajó arduamente en la identificación de las
necesidades del sector y se logró identificar que uno de los aspectos fundamentales y de innovación era
desarrollar propuestas de transformación digital en las agencias de viaje, logrando avanzar en la ejecución
de un proyecto de transformación digital para las agencias de viaje de Bogotá que generará el desarrollo
de páginas web, la suscripción a un paquete de herramientas digitales en la nube y entrenamiento digital.",203,37,Instituto Distrital De Turismo,"Desarrollo Económico, Industria y Turismo"
Bogota Destino Turistico Inteligente,"Permite a los destinos obtener una visión del grado de cumplimiento de los requisitos de un destino inteligente, así como compararse con los resultados obtenidos por otros destinos para aprovechar sinergias entre unos y otros y colaborar en red para construir territorios turísticos
inteligentes.",204,37,Instituto Distrital De Turismo,"Desarrollo Económico, Industria y Turismo"
Sello Check in,"Con el fin de contribuir a la preparación de Bogotá como un destino turístico bioseguro, el Instituto Distrital de Turismo en el marco esta meta, diseñó un plan de apoyo para la implementación y certificación de los protocolos de bioseguridad exigidos y recomendados por el Gobierno Nacional",205,37,Instituto Distrital De Turismo,"Desarrollo Económico, Industria y Turismo"
Observatorio de Turismo,"Mediante el Acuerdo 803 del 2021 del Concejo de Bogotá se formalizó la labor que realiza el observatorio.
Este acuerdo busca el fortalecimiento del Observatorio de Turismo para producir y analizar información
estadística sectorial, mediante procesos estadísticos, metodologías, normas y estándares de calidad,
tecnología e innovación en forma articulada con los niveles local, nacional e internacional.",206,37,Instituto Distrital De Turismo,"Desarrollo Económico, Industria y Turismo"
"Programa de formación virtual Herramientas para el Desarrollo
Empresarial del Sector Turístico","El programa de formación virtual “Herramientas para el Desarrollo Empresarial del Sector Turístico”, se brindaron conceptos generales sobre operación y producto turístico,
innovación, marketing y promoción, calidad y sostenibilidad
turística, entre otros, que fortalezcan los procesos de gestión
empresarial y se alineen con las acciones definidas en cada uno de los ejes para transformar a Bogotá como Destino Turístico Inteligente.",207,37,Instituto Distrital De Turismo,"Desarrollo Económico, Industria y Turismo"
Programa de formación y fortalecimiento con la Universidad Tecnológica de Bolívar,"Tuvo como finalidad capacitar a prestadores de servicios turísticos en las temáticas de gestión empresarial, sostenibilidad e innovación, costos y presupuestos, y marketing digital.",208,37,Instituto Distrital De Turismo,"Desarrollo Económico, Industria y Turismo"
Diplomado Cátedra Preparando mi Futuro 2022 “Emprendimiento e Innovación”,"Desde el programa de educación para el turismo, en la versión 2022 se conto con la participación de estudiantes de los Colegios Amigos del Turismo, enfocada en emprendimiento e innovación.",209,37,Instituto Distrital De Turismo,"Desarrollo Económico, Industria y Turismo"
Plan Bogota - BogotaDCtravel,"Con esta palataforma digital, el IDT busca apoyar a empresarios del sector, entre ellos, los operadores turísticos, empresas de transporte, realizadores de eventos, hoteles, restaurantes, parques de diversiones, entre otros; para que a través de esta plataforma ofrezcan y vendan sus productos a los mejores precios.",210,37,Instituto Distrital De Turismo,"Desarrollo Económico, Industria y Turismo"
Documento - Informe de agencias de viajes en Bogota,"Este documento presenta un módulo de tecnología e Innovación, donde se presenta la Infraestructura Tecnológica con la que cuentan las agencias de viajes y los procesos de Innovación implementados por las agencias de viajes",211,37,Instituto Distrital De Turismo,"Desarrollo Económico, Industria y Turismo"
"Aplicación web ""Visor Geográfico Ambiental""","Poner a disposición de las partes interesadas, la información institucional georeferenciada, orientada al acceso y consulta de la ciudadanía sobre el estado ambiental de la ciudad, apoyado en un histórico de datos recolectados y analizados por la entidad, así como otros servicios de generación de cadenas de servicios, que sigue las políticas, estándares e interoperabilidad de la Infraestructura de Datos Espaciales para el Distrito Capital  (https://visorgeo.ambientebogota.gov.co/).",212,38,Secretaría Distrital De Ambiente,Ambiente
TABLEROS DE CONTROL SEGUIMIENTO A LA INVERSIÓN,"Es una herramienta gerencial que permite hacer seguimiento al presupuesto de la entidad, a través de la información comparada de los diferentes componentes de los proyectos de inversión",213,38,Secretaría Distrital De Ambiente,Ambiente
LINEA REDES CIUDADANAS,"Red Colaborativa de Microsensores de Calidad del Aire: Generación  de la RCMCA por medio de la instalación de los microsensores, transmisión, captura, almacenamiento, procesamiento, generación de gráficos y visualización por medio de una plataforma.

Red Interactiva de Monitoreo de Fauna en Bogotá: Herramienta participativa para la identificación e integración de información sobre monitoreo de fauna, con el fin de analizar las variaciones en los índices de biodiversidad,",214,38,Secretaría Distrital De Ambiente,Ambiente
MODELAMIENTO AMBIENTAL.,"SISTEMA INTEGRADO DE INFORMACIÓN Y GESTIÓN AMBIENTAL DE RUIDO (SIIGAR)

Predicción Climática Estacional para Bogota

Análisis Acumulativo del Riesgo Socio-Ambiental por Exposición a contaminación del aire (ACRE)

Áreas de Importancia Estratégica para la Conservación del Recurso Hídrico",215,38,Secretaría Distrital De Ambiente,Ambiente
Web Service para la comunicación web de Conceptos Técnicos de Manejo y Emergencia Silvicultural,"Correspondiente al diseño de un Web Service que comunica de manera directa los Conceptos Técnicos de manejo y emergencia emitidos por esta Secretaría que autorizan al Jardín Botánico de Bogotá “José Celestino Mutis”, siendo esta nuestra principal entidad ejecutora, donde de manera expedita y vía web, se entregan al JBB  la información alfanumérica de cada concepto junto con los respectivos soportes y anexos en PDF.",216,38,Secretaría Distrital De Ambiente,Ambiente
Banco de Buenas Prácticas AGORA,"Reto: Fortalecer la gestión del conocimiento con un repositorio de experiencias exitosas que sean validadas, probadas, que se hayan repetido y puedan ser compartidas
Ideación: Banco buenas prácticas con videos que mejoren la forma de compartir en la entidad y otras entidades
Solución: Metodología para AGORA, documentación en intranet, seguimiento anual, socialización al interior de la entidad y con otras entidades. Igualmente se está construyendo un repositorio de buenas prácticas con videos.",217,39,Secretaría Distrital De Gobierno,Gobierno
Laboratorios Cívicos – Presupuestos Participativos,"Reto: Tras evaluación de presupuestos participativos, mejorar Fase II
Ideación: participación incidente y enfocada en beneficio de la comunidad. Herramienta “Carnaval de Ideas”, Observación, Ideación, Prototipado, Testeo y Escalamiento de solución.
Solución: las alcaldías locales cuentan con propuestas ciudadanas construidas desde la co-creación. Interacciones en plataforma GAB, y Chatico.  Está identificada por la OCDE como una innovación relevante según el observatorio de innovación",218,39,Secretaría Distrital De Gobierno,Gobierno
Bogotá Local,"Reto: Fortalecer la Estrategia de Mitigación Reactivación Económica Local EMRE. Alcaldías Locales impulsen el empleo local y reducir efecto negativo pandemia.
Ideación: Diagnóstico local, articulación intersectorial, recursos y necesidades
Solución: Plan Desarrollo Local según necesidades tejidos productivos y población, diagnósticos diferentes enfoques y articulación intersectorial. Premio UNESCO creación marca. OCDE identifica como innovación relevante de Colombia.",219,39,Secretaría Distrital De Gobierno,Gobierno
Trabajo Inteligente,"Reto: Adaptación a una forma diferente de trabajar en torno a pandemia, responder a necesidades con atención al ciudadano, bienestar de servidores y atención a la crisis
Ideación: Talento humano, infraestructura, tecnológico, sostenibilidad ambiental y seguimiento
Solución: Estrategia de Trabajo Inteligente, fortalecimiento compentencias e innovación, infraestructura, tecnológico,  carnetización digital, gestión puestos trabajo, seguimiento OKR, sostenibilidad ambiental y mobilidad sostenible",220,39,Secretaría Distrital De Gobierno,Gobierno
Chatbot Gabriela,"Reto: Desarrollar una herramienta para interactuar en tiempo real con la ciudadanía en conversaciones tipo ""Preguntas Frecuentes"", actualizar según la interacción y la calificación de la misma por parte de la Ciudadanía. 
Ideación: Desarrollar una herramienta estilo CHATICO pero de propiedad de la SDG
Solución: nuevo canal de comunicación ChatBot GABRIELA, anclado al Portal Web. Crear bases de conocimiento al servicio de la ciudadanía.",221,39,Secretaría Distrital De Gobierno,Gobierno
Documentos extraviados,"Reto: Mejorar control de documentos extraviados según procedimiento SAC-P002 Procedimiento para la recepción, registro, custodia, entrega o devolución de documentos de identificación extraviados. Dicho control hace parte de los trámites u OPAS de la entidad
Ideación: Aplicativo SIDE- BIZAGI
Solución: Diseñar y poner en funcionamiento el Aplicativo institucional SIDE- BIZAGI para la recepción, registro, custodia, entrega o devolución de documentos de identificación extraviados.",222,39,Secretaría Distrital De Gobierno,Gobierno
Gobierno sin límites,"Reto: Orientar, atender y sensibilizar los trámites del área de atención a la ciudadanía con enfoque diferencial e incluyente
Ideación: Enfoque diferencial e incluyente con charlas, talleres, cursos, Franja Interprete señas y otros
Solución: Estrategia Gobierno sin Límites: talleres, cursos,  y eventos que fortalecen la inclusión, servicio interpretación en Lengua de Señas, contratar personas con algun tipo de discapacidad",223,39,Secretaría Distrital De Gobierno,Gobierno
Oferta institucional en Alcaldías Locales,"Reto: Mejorar el seguimiento a la oferta institucional en las Alcaldías Locales
Ideación: Fortalezas y debilidades de la oferta institucional
Solución: Desde Despacho/GoLAB se coordinó un proceso de co-creación de solución innovadora con las 20 alcaldías Locales que tuvo como resultado la estrategia “Oferta Ciudad"" #BogotáTeCuenta, proceso para la creación de una solución innovadora para el seguimiento a la oferta institucional en las alcaldías locales",224,39,Secretaría Distrital De Gobierno,Gobierno
SDG Pet Friendly,"Reto: Lograr que la Secretaria Distrital de Gobierno sea lugar amable con animales de compañía, permitiendo su acceso, permanencia y sensibilizar a los tenedores de animales de compañía y la comunidad en general
Ideación: Brigadistas de animales y charlas expertos Pet Friendly
Solución: Huellitas de amor, brigadistas en animales para brindar informacion, charlas cortas con expertos llevando a los animales para que se familiaricen.",225,39,Secretaría Distrital De Gobierno,Gobierno
Diálogo social,"Reto: Formular una estrategia que permita el diseño de herramientas útiles para los gestores de convivencia en su trabajo constante frente a las conflictividades
Ideación: DOFA diálogo social. Cómo recibe la ciudadanía a gestores? Y cómo actúa en el proceso de diálogo?
Solución: A partir de la fase I, diseñar una estrategia metodológica y un kit de herramientas útiles para los gestores locales puedan utilizarlas en su rol y actividad asignada.",226,39,Secretaría Distrital De Gobierno,Gobierno
Disminuir la violencia en las movilizaciones – Portal Américas,"Reto: Desescalar la violencia mientras se garantiza el derecho a la protesta pacífica en Portal Américas
Ideación: Mayor presencia institucional, ESMAD por ARTE, Espacios de diálogo, mayor flexibilidad oferta institucional (interacción con otras entidades para lograrlo ejemplo BibloRED e IDRD)
SOLUCIONES: Caracterización de los jóvenes en Colombia y Bogotá, Exploración cualitativa en territorio, Mapa de actores, Feria de Servicios, Análisis de tribus urbanas, movimientos sociales y pandillas.",227,39,Secretaría Distrital De Gobierno,Gobierno
Hijos de Usminia - USME,"Reto: Disminuir la violencia en las movilizaciones – USME
Ideación: Urbanismo táctico como herramienta para incentivar el trabajo en equipo de los jovenes de Usme denominados primera línea. 
Solución: Transformar 7 puntos estratégicos asociados al corredor de Santa Librada en espacios públicos icónicos para Usme, desde una propuesta innovadora e incluyente que cristaliza la resistencia y la lucha social; alternativas que mejoran la confianza y el diálogo, replicables.",228,39,Secretaría Distrital De Gobierno,Gobierno
Goles en Paz 2.0,"Reto: Profundizar el impacto del programa Goles en Paz
Ideación: Reconocimiento de procesos históricos y retos de relevos generaciones en Barras Populares y Tradicionales, conversatorios, territorialización del eje Mujer y Género, publicaciones para visibilidad acciones 
Solución: Objetivo, metas e indicadores identificados en los 3 componentes de desarrollo: i) Estadio, ii) Territorio y iii) Aficionados, para dejar un legado del programa a la ciudad y así consolidar una cultura de paz.",229,39,Secretaría Distrital De Gobierno,Gobierno
Participación SUMAPAZ,"Reto: Promover la participación ciudadana en la localidad de SUMAPAZ
Ideación: Barreras administrativa, financiera, normativa, de calidad de la información, de gobernanza y cultural, de Enfoque territorial, tecnológicas, de acceso a los servicios, y otras barreras que impiden la participación incidente de la ciudadanía en la localidad
Solución: construcción de un plan de acción para promover la participación ciudadana en la localidad de Sumapaz, en apoyo de la CLIP de Sumapaz, GAB, iBO, GOLAB",230,39,Secretaría Distrital De Gobierno,Gobierno
Seguridad Teusaquillo,"Reto: Fortalecer la seguridad en la localidad de Teusaquillo
Ideación: Acciones interinstitucionales según la oferta institucional, por ejemplo, Secretaria de Seguridad y DEMOLAB, Convivencia y Justicia, IDPAC y PARTICILAB, IBO, Bancada de innovación del Concejo.
Solución: proceso de problematización, ideación
e identificación de retos y soluciones frente al problema de seguridad en la localidad, a partir de la metodología conjunta construida para el ejercicio y la participación de la ciudadanía",231,39,Secretaría Distrital De Gobierno,Gobierno
Estrategia de descongestión derechos de petición 911,"Reto: Depurar derechos de petición, mejorar  tiempos de respuesta y disminuir vencimientos
Ideación: problematización, ideación
e identificación de retos y soluciones frente al problema Solución: Reuniones Alcaldías Locales y nivel central de la SDG, jornadas 911 semanales, interoperabilidad entre AGD Orfeo y el BTE para seguimiento y cierre automático, visitas alcaldías locales. Se logró cerrar 2017 y 5658 DP 2021, se redujo tiempo respuesta 175 a 29 días, aumento 78% índice de cumplimiento",232,39,Secretaría Distrital De Gobierno,Gobierno
Caja de Herramientas Discapacidad,Fortalecer la innovación por parte del GoLAB y la Secretaría técnica de discapacidad en el marco de la cocreación de herramientas que dinamicen la socialización de la política pública y ley de Discapacidad,233,39,Secretaría Distrital De Gobierno,Gobierno
Red INNOVA local,"Crear una comunidad que fomenta el uso de herramientas, metodologías, estrategias y procesos de innovación en los diferentes escenarios locales, a través de la participación de líderes-as, equipos de innovación de cada una de las alcaldías y GoLAB. Fortalecimiento laboratorios de innovación en Suba, Teusaquillo y Usme, más la creación de 4 laboratorios en Sumapaz, San Cristóbal, Los Mártires y Rafael Uribe Uribe, estos logros nos permitieron implementar la iniciativa “Sembrando la Innovación”",234,39,Secretaría Distrital De Gobierno,Gobierno
Ranking Distrital de Innovación,Medición de las capacidades y oportunidades de innovación en las Alcaldías Locales por parte de GOLAB,235,39,Secretaría Distrital De Gobierno,Gobierno
SomosFest,"Festival liderado por GOLAB y que tiene como objetivo generar reflexiones a partir de actividades de co-creación que ayuden a la prevención y reducción de comportamientos discriminatorios, particularmente racistas y xenófobos en la ciudad de Bogotá. Realizado en IED República de Colombia SEDE A (24 de octubre de 2022) y Planta-IDPAC (20 de octubre de 2022), participaron GOLAB, Subdirección Asuntos Libertad Religiosa y  Dirección Diálogo Social.",236,39,Secretaría Distrital De Gobierno,Gobierno
TIC LOCAL,"Contribuir al cierre de las brechas digitales en las localidades. En apoyo del SENA se empodera la ciudadanía para que, a través de la apropiación de TICs tengan la capacidad para inclusión laboral, mejoramiento en actividades productivas, cercanía entre la institución y la ciudadanía, el fortalecimiento de las redes y canales de comunicación. Curso de marketing Digital Navideño teniendo acogida presencial en Bosa, Kennedy, Ciudad Bolívar, Engativá y Usaquén.",237,39,Secretaría Distrital De Gobierno,Gobierno
Open Journal System (OJS),Configuración y capacitación del sistema Open Journal System (OJS) del IDEP para la mejora de la divulgación del conocimiento,238,42,Instituto Distrital Para La Investigación Educativa Y El Desarrollo Pedagógico,Educación
Aula Virtual (moodle),Nuevas funcionalidades y a la medida para fines misionales y cualificación docente,239,42,Instituto Distrital Para La Investigación Educativa Y El Desarrollo Pedagógico,Educación
Portal web,"Desarrollar la plataforma digital que permita realizar las acciones de divulgación institucional, actividades académicas y de formación a docentes del Distrito en el marco de la implementación de las estrategias del IDEP.",240,42,Instituto Distrital Para La Investigación Educativa Y El Desarrollo Pedagógico,Educación
